id_consumo;id_insumo;id_maquina;cantidad;fecha
691;2126206;OR124;2;30/3/2021
692;1200100;MA087;500;31/3/2021
693;1201350;MT117;1;31/3/2021
694;2006758;MA059;20;31/3/2021
695;2400142;MA015;1;31/3/2021
696;1200038;MA112;250;1/4/2021
697;1200992;MA089;250;1/4/2021
698;1201350;OR148;2;1/4/2021
699;1206494;OR125;1000;1/4/2021
700;1207497;MA106;2000;1/4/2021
701;2400142;MA110;2;1/4/2021
702;3001121;MA043;15;1/4/2021
703;3003136;MA114;3;1/4/2021
704;3007780;VA139;2;1/4/2021
705;1200430;MA465;250;5/4/2021
706;1202286;MA044;500;5/4/2021
707;1202294;VA162;2500;5/4/2021
708;1203460;MA100;1000;5/4/2021
709;1203495;MA101;1000;5/4/2021
710;1203592;MA010;1000;5/4/2021
711;1203606;MA122;1000;5/4/2021
712;1204823;VA139;500;5/4/2021
713;1205137;VA167;500;5/4/2021
714;1205145;MA127;500;5/4/2021
715;1206494;MA130;750;5/4/2021
716;1208012;MA107;2000;5/4/2021
717;1905749;MA036;5;5/4/2021
718;1906452;MA120;2;5/4/2021
719;2121288;MT118;2;5/4/2021
720;2152916;MA093;5;5/4/2021
721;3000141;MA091;1;5/4/2021
722;3002637;MA072;5;5/4/2021
723;1200038;MA102;500;6/4/2021
724;1200046;MA147;500;6/4/2021
